,Refcode,ΔE,P1/P2,O…O,O-H-O,O_H1-O_H3,O_H1-O_H4,O_H2-O_H3,O_H2-O_H4,min H…O,min H…H,H1…H4,H-O-H-H3,H-O-H-O,H-O-H-H4,O-H1-H3,O-H1-H4,H1-O-H2,H3-O-H4,R(H1O),r(H1O),R(H1H3),r(H1H3),R(H1H4),r(H1H4)
7745,TAMQIK,-5.04,62.952,2.817,159.298,100.673,61.753,147.617,88.132,1.866,2.253,2.341,169.948,161.534,122.515,133.889,161.15,111.423,111.583,0.65964498888048,1.7455155366381,1.6237015521538,1.5619226195728,0.75635762226786,2.2154467150526
7746,TEZLEP,-4.22,58.186,2.817,155.644,46.443,81.604,112.995,141.749,1.882,2.404,2.431,150.32,87.806,118.551,176.438,139.904,110.395,101.557,0.7761461219883,1.714503192567,0.14935712885892,2.3993558402328,1.565734720874,1.8596332390688
7747,TUJQIY,-4.65,52.201,2.817,173.358,69.635,65.658,179.148,69.635,1.828,2.306,2.395,168.339,47.638,40.735,159.57,158.294,111.13,111.13,0.21143616806454,1.8157309125623,0.80493872276127,2.1609510990764,0.88577650880706,2.2251797627261
7748,UZEKOA,-4.15,88.118,2.817,177.974,79.84,76.274,72.17,54.588,1.825,2.239,2.292,64.001,4.978,42.054,153.211,153.928,108.276,108.54,0.064519229134079,1.8238591691992,1.0091311106128,1.9986934236129,1.007334591971,2.0587717260101
7749,WEHTUZ,-4.59,80.559,2.817,171.527,67.969,48.097,113.974,110.035,1.831,2.318,2.666,123.921,122.19,104.947,160.396,158.144,110.775,111.32,0.26978564087284,1.8110153803816,0.77772918704988,2.1836348851424,0.99248553809194,2.4743743566159
7750,WETDIL,-4.93,60.359,2.817,169.884,78.344,61.712,165.492,89.268,1.834,2.368,2.474,173.214,163.129,99.822,147.89,156.91,105.392,104.626,0.32212677583414,1.8054889477066,1.2587019275106,2.0057650554542,0.97024483787158,2.2758077587054
7751,BATPIX,-4.56,63.858,2.818,176.37,69.354,52.944,111.694,59.668,1.826,2.357,2.529,114.492,151.706,34.491,157.174,163.156,106.896,108.06,0.11560967763653,1.8223365228291,0.91436014282658,2.1724167485108,0.73282044013563,2.4204989573473
7752,COVPIN05,-4.97,57.133,2.818,170.803,83.07,40.008,133.749,105.286,1.833,2.296,2.597,126.275,101.292,110.464,147.2,171.802,104.624,108.545,0.29296747558728,1.8094361161003,1.2437620508092,1.9299409216261,0.37031761501544,2.5704617997569
7753,DOPQEG,-4.77,87.504,2.818,170.681,78.847,62.048,112.187,135.211,1.834,2.257,2.356,93.54,24.834,122.192,152.503,164.921,106.706,107.746,0.29698157497101,1.8097950005809,1.0420617950346,2.0020380154556,0.61291487709841,2.2748783161812
7754,DUYHIP,-4.91,80.11,2.818,176.53,72.932,67.308,101.739,144.103,1.826,2.282,2.428,102.304,113.548,140.327,157.926,155.325,103.331,107.641,0.11052030989243,1.8226522600599,0.85758422381879,2.1147277127463,1.0136186715785,2.2063003396245
