,Refcode,ΔE,P1/P2,O…O,O-H-O,O_H1-O_H3,O_H1-O_H4,O_H2-O_H3,O_H2-O_H4,min H…O,min H…H,H1…H4,H-O-H-H3,H-O-H-O,H-O-H-H4,O-H1-H3,O-H1-H4,H1-O-H2,H3-O-H4,R(H1O),r(H1O),R(H1H3),r(H1H3),R(H1H4),r(H1H4)
4296,VAKCER,0.23,0.0,3.148,71.397,180.0,75.908,75.908,180.0,3.321,3.757,4.185,172.931,172.931,174.586,56.89,78.735,104.092,104.092,3.1474834224009,-1.0594286694777,3.1469510803215,-2.0522543453636,4.1043725109331,-0.81752754785211
4297,LUVQEA,1.29,0.0,3.149,64.331,69.553,180.0,180.0,69.553,3.449,3.654,3.981,120.079,105.069,105.069,71.701,51.339,110.447,110.447,3.1086234378804,-1.4940084743605,3.4692207194339,-1.1472678849556,3.1085870022454,-2.4869756431198
4299,HOMPRO11,1.09,0.0,3.159,65.75,180.0,72.018,72.018,180.0,3.434,3.947,4.141,152.199,152.199,158.536,52.49,74.539,107.982,107.982,3.1309908576437,-1.4104085398747,3.1309462219788,-2.4033278501022,3.9911460442062,-1.1039176843485
4300,JOCTEA,1.07,0.0,3.159,66.425,82.613,180.0,180.0,82.613,3.422,3.816,3.927,125.723,110.958,110.958,71.018,53.023,97.387,97.387,3.1363907348584,-1.3686260111128,3.6084890078705,-1.2412344984239,3.1371900957397,-2.3620684374489
4307,QOYGUG,0.94,53.556,3.187,75.989,173.49,65.483,68.436,67.322,3.278,3.718,3.837,102.535,103.883,93.328,61.392,84.291,108.501,108.064,3.1804770832114,-0.79363059616381,3.2640921671671,-1.7802320984182,3.8179683133801,-0.38168960953303
4308,WEVVOJ,0.36,75.977,3.19,87.644,40.589,112.49,133.454,50.022,3.073,3.441,3.982,82.144,72.077,67.749,100.512,82.696,107.107,103.894,3.0704023736731,-0.1263260216369,3.3832487289773,0.62778104293889,3.9496883373099,-0.5062470129477
4309,YOVSUZ,1.06,11.775,3.19,98.687,58.878,46.293,160.776,59.477,2.886,2.892,3.163,103.181,85.844,71.802,109.159,110.774,105.713,103.855,2.852892331393,0.43589143772191,2.7318163436649,0.94912773876085,2.9573630034831,1.1218614288893
4315,IKAKEL,1.88,4.362,3.201,80.946,3.975,103.263,103.263,3.975,3.203,3.257,3.61,77.463,78.138,62.803,98.592,78.302,106.107,100.287,3.1630921124153,-0.50404095902622,3.2204475048183,0.48658695904198,3.5350198979801,-0.73193874121027
4316,DIYHOJ,1.01,0.0,3.204,64.277,180.0,72.933,72.933,180.0,3.508,4.039,4.286,174.44,174.44,175.724,51.48,73.311,107.067,107.067,3.1603672567768,-1.5225448440991,3.1600764839188,-2.5154398453915,4.1054635926944,-1.2308390183371
4320,PYDCNI10,0.23,52.211,3.212,79.693,137.835,98.995,74.884,133.634,3.237,3.699,3.846,147.917,158.44,171.408,69.17,78.992,107.995,108.63,3.1847651323672,-0.57917186711533,3.457231934738,-1.3153510365784,3.7752356457543,-0.73437852571148
4325,ZILVUN,0.68,85.743,3.219,70.538,99.732,103.966,103.966,140.01,3.411,3.638,4.37,177.658,165.607,161.779,68.993,71.648,101.505,101.505,3.2161045770917,-1.1364824456232,3.3962062840429,-1.30415753505,4.1477423075909,-1.3759119702293
4331,QUYFOH,0.7,0.0,3.227,67.235,180.0,74.297,74.297,180.0,3.479,3.97,4.282,166.661,166.661,169.712,53.901,75.426,105.703,105.703,3.2079848541266,-1.3462073301296,3.2077606637496,-2.3390535530638,4.144220039827,-1.0774805155995
4333,XIHDEA,1.73,0.0,3.228,51.42,79.14,180.0,180.0,79.14,3.752,4.433,4.44,166.94,162.631,162.631,60.944,41.35,100.86,100.86,2.9330817258875,-2.3397725507546,3.875086753743,-2.1529495235526,2.9333171608161,-3.3330542200903
4335,TOBQIK,0.71,0.0,3.236,70.305,180.0,74.628,74.628,180.0,3.432,3.881,4.084,136.898,136.898,146.348,56.368,77.361,105.372,105.372,3.2312278570157,-1.1566289534876,3.2313673220921,-2.1495176737388,3.9850367181338,-0.89360973311925
4339,YABHOA02,1.98,0.0,3.24,48.829,70.127,180.0,180.0,70.127,3.807,4.241,4.522,150.827,141.686,141.686,59.249,39.316,109.873,109.873,2.8657124171904,-2.5061806283587,3.6447047450081,-2.1684575904811,2.8651253847531,-3.4985054708608
4341,DOZFIJ,1.16,71.129,3.242,69.408,113.541,91.633,131.723,47.556,3.455,4.091,4.13,108.152,95.925,84.67,66.8,72.476,109.183,109.183,3.2342553960321,-1.2151613198407,3.7601826728932,-1.6116163521366,3.9383304489321,-1.2435647450029
4342,QOKBAV,1.36,0.0,3.242,61.683,73.155,180.0,180.0,73.155,3.593,3.932,4.157,128.672,115.103,115.103,68.887,49.542,106.845,106.845,3.1630495832768,-1.7043375058165,3.6680520360595,-1.4163397405849,3.1629857737171,-2.697437672174
4343,RUSPEB,0.73,68.737,3.242,100.233,43.607,75.646,110.02,124.601,2.915,3.012,3.806,166.692,152.905,145.329,114.25,101.582,108.479,108.434,2.868632410375,0.51785431749321,2.7462272752542,1.2370851840718,3.7285036428812,0.76413126164384
4346,RITKEN,0.15,0.0,3.244,78.856,180.0,70.361,70.361,180.0,3.286,3.612,3.761,117.476,117.476,130.264,63.207,85.403,109.639,109.639,3.2240409203113,-0.6351032547217,3.224218919508,-1.6281757764708,3.7489011499483,-0.30143186280893
4347,NAZBIA,0.37,0.0,3.246,70.501,180.0,77.849,77.849,180.0,3.44,3.885,4.267,158.774,158.774,163.618,56.561,77.286,102.151,102.151,3.2427067704021,-1.1482390000292,3.2419274866483,-2.140824881048,4.1623765576527,-0.9391008424569
4350,LEDGOS,1.52,72.943,3.252,76.466,55.985,64.682,136.531,95.087,3.337,3.62,3.666,168.913,156.572,143.19,86.428,84.421,109.409,109.516,3.2443355809203,-0.78093254406158,3.6129674060509,-0.22553607874158,3.6486345214261,-0.3564016400882
4351,IFOSUR,1.78,46.855,3.255,52.237,83.514,142.834,142.834,87.633,3.767,4.191,4.606,170.174,156.272,148.753,58.42,47.73,106.239,106.239,2.9780042823443,-2.3068982410022,3.5703539208166,-2.1947787770319,3.4083634579688,-3.0981114470566
4352,RUCPEL,2.0,0.0,3.256,40.308,76.627,180.0,180.0,76.627,3.949,4.487,4.75,180.0,180.0,180.0,51.687,32.536,103.373,103.373,2.5545933378205,-3.0114205748057,3.5206605067457,-2.7817473997905,2.5546897484548,-4.0045049992652
4353,GUKYAM,0.5,0.0,3.258,68.447,180.0,78.051,78.051,180.0,3.489,3.963,4.334,167.253,167.253,170.18,54.971,75.622,101.949,101.949,3.2450426561033,-1.281725071952,3.2451486248383,-2.2747262258808,4.1982529647946,-1.076210036932
4358,WICDEU,0.23,0.0,3.266,71.653,180.0,74.782,74.782,180.0,3.44,3.869,4.301,176.619,176.619,177.386,57.554,78.98,105.218,105.218,3.2651365052452,-1.0828128195193,3.2650392886468,-2.0757358800176,4.2216917911035,-0.8221431876076
4360,QIMKOM01,1.64,0.0,3.269,55.161,74.793,180.0,180.0,74.793,3.733,4.373,4.376,160.802,154.899,154.899,64.657,44.429,105.207,105.207,3.0638991202046,-2.1325597720133,3.9521493307717,-1.8718025182377,3.0633088661126,-3.1249823664776
4361,COVPIN03,2.0,0.0,3.271,41.715,74.176,180.0,180.0,74.176,3.945,4.469,4.733,178.189,177.53,177.53,53.241,33.689,105.824,105.824,2.6251047860262,-2.9448004792146,3.5803832275264,-2.6744750782252,2.6253226543276,-3.9381429583846
4362,COVPIN05,1.96,0.0,3.271,40.631,77.407,180.0,180.0,77.407,3.96,4.512,4.758,177.914,177.13,177.13,51.823,32.82,102.593,102.593,2.5786923121236,-3.0053196101903,3.5469060979104,-2.7888350852293,2.5788435669819,-3.9985159568315
4363,SIJJUR,0.27,0.0,3.272,72.178,180.0,71.437,71.437,180.0,3.436,3.858,4.267,170.731,170.731,172.798,57.994,80.073,108.563,108.563,3.2711130395351,-1.0516251625858,3.2715554449783,-2.0447711291078,4.2031153170186,-0.73560222392541
4365,COVPIN04,1.98,0.0,3.273,40.963,75.533,180.0,180.0,75.533,3.957,4.489,4.752,178.376,177.774,177.774,52.378,33.089,104.467,104.467,2.5940965127419,-2.9880616263023,3.5555362687725,-2.740307070648,2.5943122046312,-3.9813374869385
4366,COVPIN01,2.0,0.0,3.277,41.86,73.465,180.0,180.0,73.465,3.949,4.464,4.735,177.791,176.993,176.993,53.451,33.815,106.535,106.535,2.635218110094,-2.9411267419533,3.5861448806343,-2.6583568035725,2.6350897541663,-3.9340217319542
4367,NAGSIZ,0.37,72.502,3.278,108.133,51.217,88.603,136.392,118.991,2.831,2.925,3.783,127.322,110.665,113.121,120.924,103.842,105.727,98.892,2.6904030199222,0.88107467923747,2.5092104274766,1.5031593497173,3.6731385206325,0.90506486410953
4374,HUYJIV,1.21,38.936,3.289,79.554,37.815,108.686,109.09,140.991,3.321,3.794,4.056,123.686,128.762,139.078,92.754,76.885,110.247,100.02,3.2659584891728,-0.60212635467984,3.7896180610659,0.18229358530424,3.9502057163311,-0.92033189592956
4375,IXUHEP,0.59,68.095,3.289,101.063,57.606,91.048,127.528,131.729,2.95,2.969,3.915,138.704,121.874,124.531,111.704,98.047,97.034,96.692,2.8951795146733,0.56607029405925,2.7585179587914,1.097970705905,3.8764512313388,0.54804274564312
4379,ODAZIC,0.47,37.343,3.296,100.308,59.254,59.001,60.439,161.594,2.97,3.07,3.84,120.22,137.099,143.296,109.786,105.758,108.516,101.333,2.9220643866468,0.5314505812307,2.8887579761724,1.0392195894517,3.695682535048,1.0428473522724
4380,WICCUJ,0.06,0.0,3.297,73.603,180.0,75.072,75.072,180.0,3.437,3.837,4.314,175.897,175.897,176.821,59.23,80.468,104.928,104.928,3.2972129363969,-0.97023494683338,3.2968573916414,-1.9629825111751,4.2544377570486,-0.7143916092727
4381,WICDAQ,0.05,0.0,3.306,73.543,180.0,75.603,75.603,180.0,3.447,3.848,4.327,174.552,174.552,175.779,59.216,80.29,104.397,104.397,3.3057854271826,-0.9765202043108,3.3058277774956,-1.969417859556,4.2650116019384,-0.72979794144034
4383,ERIGAO,1.93,0.0,3.308,48.856,69.158,180.0,180.0,69.158,3.876,4.43,4.59,179.983,179.978,179.978,60.271,39.48,110.842,110.842,2.9188541343673,-2.550228723524,3.8469261865471,-2.1968292867809,2.9183625468654,-3.5427757542714
4385,WICDUK,0.06,0.0,3.311,73.518,180.0,75.248,75.248,180.0,3.453,3.854,4.33,175.028,175.028,176.145,59.215,80.337,104.752,104.752,3.3111124786709,-0.97966481696046,3.3109479676861,-1.9725464646682,4.268566259833,-0.72680264543789
4391,RACYOK,1.01,0.0,3.323,62.493,180.0,75.584,75.584,180.0,3.663,4.214,4.448,174.369,174.369,175.654,50.43,71.049,104.416,104.416,3.2489140160028,-1.6917821126318,3.2483488010373,-2.6844042293961,4.206903540883,-1.4445298881317
4393,XUXTOA,0.72,47.603,3.325,100.632,45.768,105.258,116.696,131.886,2.996,3.056,3.911,158.063,144.143,145.296,114.051,94.273,111.919,111.005,2.9445660442784,0.55276288848187,2.7906874075561,1.2454717151778,3.9001288111267,0.29140394063809
4397,OMEXAG,1.02,0.0,3.328,64.399,180.0,74.854,74.854,180.0,3.635,4.161,4.311,145.95,145.95,153.459,51.971,72.296,105.146,105.146,3.2781338202889,-1.5706889113629,3.2776156988141,-2.5634266774939,4.1068321324946,-1.3109732398145
4398,XUXTIU,0.59,59.912,3.33,104.035,50.972,89.501,113.298,134.734,2.947,3.001,3.914,160.839,145.25,143.472,116.517,100.65,110.287,110.743,2.8590254592491,0.71469043883741,2.6853005998983,1.3398364408336,3.8465791857902,0.72334263488711
4401,WICDIY,0.36,0.0,3.331,70.634,180.0,73.951,73.951,180.0,3.526,3.967,4.371,175.494,175.494,176.498,56.976,78.189,106.049,106.049,3.3264975104725,-1.1692263736422,3.3261008282759,-2.1619764753906,4.2784576701147,-0.89467366398944
4403,WICDOE,0.35,0.0,3.335,70.775,180.0,73.968,73.968,180.0,3.527,3.967,4.372,174.486,174.486,175.713,57.102,78.293,106.032,106.032,3.3303090333984,-1.1613658949983,3.3308472163472,-2.1546567757654,4.2810537791674,-0.88710909130529
4404,APOLOH,0.77,15.637,3.337,94.764,12.572,108.866,108.238,140.786,3.105,3.392,4.001,153.716,157.473,161.521,111.208,89.095,110.035,108.608,3.0942729667405,0.25787556553325,3.1622710329636,1.2270720900091,4.0005009070675,-0.063194086367564
4405,ZEVZOR,1.74,66.747,3.337,70.547,24.016,117.121,120.324,49.921,3.533,3.723,4.265,107.296,105.125,94.998,85.847,67.54,107.851,107.726,3.3313186853249,-1.1766073333127,3.7132242184994,-0.26961992350293,3.9414846978821,-1.6293935609181
4406,WICROS,0.56,0.0,3.339,68.313,180.0,73.948,73.948,180.0,3.576,4.049,4.402,176.996,176.996,177.666,55.141,76.244,106.052,106.052,3.3228779912115,-1.3214605009316,3.3224518325804,-2.3142417376288,4.2757382002953,-1.0467410580157
4407,KUXQOK,0.57,0.0,3.34,68.496,180.0,73.094,73.094,180.0,3.573,4.044,4.394,176.235,176.235,177.072,55.291,76.56,106.906,106.906,3.3242905413322,-1.3097409655384,3.324388837461,-2.3026886149379,4.2736652595581,-1.021284117788
4417,DEYCAM,0.62,0.0,3.36,69.208,72.602,180.0,180.0,72.602,3.582,3.829,4.042,118.956,104.62,104.62,75.256,55.932,107.398,107.398,3.3487231439559,-1.2715255817852,3.702920968036,-0.97448309604588,3.3482849810338,-2.2642331341501
4420,VEMZEV,0.75,63.527,3.366,91.044,53.656,106.866,73.355,147.815,3.198,3.469,4.116,129.25,142.672,146.896,100.744,86.798,99.438,107.898,3.1974691251146,0.058268292741056,3.4081881701371,0.64669497983028,4.1095741626865,-0.22990476589189
4422,PEBQET01,0.39,0.0,3.369,71.448,180.0,73.536,73.536,180.0,3.551,3.98,4.334,155.231,155.231,160.618,57.765,78.711,106.464,106.464,3.3664733080937,-1.129804614034,3.3665526208399,-2.1229044846899,4.2501468923843,-0.8484146351612
4423,WURQOR,1.12,0.0,3.369,62.032,180.0,75.97,75.97,180.0,3.719,4.276,4.399,148.11,148.11,155.182,50.195,70.016,104.03,104.03,3.284656716323,-1.7441305157339,3.2849414765504,-2.737395750643,4.1341278263279,-1.5033922028471
4427,WIPNUG,1.55,31.199,3.374,64.098,55.629,151.597,144.544,95.892,3.688,4.043,4.528,178.37,169.248,170.271,74.942,56.723,112.487,101.502,3.3175128548752,-1.6110407995262,3.9041768482219,-1.0503580997965,3.7855333617762,-2.4844559096267
4429,EHUDUG,0.2,76.995,3.378,91.762,54.231,138.78,89.163,112.505,3.198,3.835,3.874,119.384,128.665,131.991,100.196,80.361,102.682,104.29,3.1964878990726,0.098331638256841,3.7744375588827,0.67885647532889,3.8193080022175,-0.64866199533914
4430,BAMJOR,1.21,30.39,3.38,86.255,20.223,128.746,89.825,34.989,3.296,3.387,3.669,102.22,108.17,96.101,102.211,76.818,109.053,109.057,3.2889618103902,-0.21528169869983,3.3103701574417,0.71639264423893,3.5723240270723,-0.83669710505183
4434,CUBALN01,0.89,0.0,3.383,65.795,180.0,72.61,72.61,180.0,3.667,4.173,4.373,151.771,151.771,157.892,53.261,73.983,107.39,107.39,3.3446132753892,-1.5034796433908,3.3441114515673,-2.4961665808788,4.2032395731614,-1.2066093363677
4435,PEBQET,0.59,0.0,3.383,68.118,180.0,75.341,75.341,180.0,3.625,4.1,4.428,162.35,162.35,166.244,55.131,75.619,104.659,104.659,3.3638310230823,-1.351023999842,3.3638913977411,-2.3439783839027,4.2892511730107,-1.0997765113087
4436,KEKGIR,1.71,0.0,3.384,42.324,80.013,180.0,180.0,80.013,4.051,4.639,4.832,169.015,165.097,165.097,52.517,34.37,99.987,99.987,2.7276285174148,-2.99510328219,3.6812038944015,-2.8229521582633,2.7278326251201,-3.9883772601561
4437,DOCLIR,0.39,0.0,3.385,70.749,180.0,72.305,72.305,180.0,3.58,4.018,4.411,174.715,174.715,175.87,57.257,78.512,107.695,107.695,3.379818092501,-1.1803514991744,3.3795602885346,-2.1732225509965,4.3226319608892,-0.87850664806785
